#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
EM|TB836|30.546|85.140999|4854.0|Lasan Tangu, China|2001-07-09T09:50:00|2001-07-19T06:33:25
EM|TB839|30.927999|85.106003|4714.0|Mendrong, China|2001-07-09T06:15:00|2001-07-19T03:23:00
XF|H1170|30.495501|85.197403|4846.0|H1170|2004-06-24T00:00:00|2005-12-31T23:59:59
XF|H1180|30.581301|85.176003|4974.0|H1180|2004-06-23T00:00:00|2005-12-31T23:59:59
XF|H1190|30.649401|85.137604|4831.0|H1190|2004-06-23T00:00:00|2005-12-31T23:59:59
XF|H1200|30.7152|85.141098|4828.0|H1200|2004-06-22T00:00:00|2005-12-31T23:59:59
XF|H1210|30.782101|85.109398|4874.0|H1210|2004-06-24T00:00:00|2005-12-31T23:59:59
XF|H1220|30.8599|85.068802|4776.0|H1220|2004-06-22T00:00:00|2005-12-31T23:59:59
XF|H1230|30.9321|85.098999|4778.0|H1230|2004-06-24T00:00:00|2005-12-31T23:59:59
XF|H1240|31.0198|85.134102|4731.0|H1240|2004-06-05T00:00:00|2005-12-31T23:59:59
XF|H1250|31.0842|84.997902|4850.0|H1250|2004-06-06T00:00:00|2005-12-31T23:59:59
XF|H1260|31.1549|85.0121|4992.0|H1260|2004-06-06T00:00:00|2005-12-31T23:59:59
XF|H1270|31.225201|85.072098|4726.0|H1270|2004-06-06T00:00:00|2005-12-31T23:59:59
XF|H1280|31.3016|85.129898|4732.0|H1280|2004-06-07T00:00:00|2005-12-31T23:59:59
XF|H1290|31.3783|85.102997|4822.0|H1290|2004-06-06T00:00:00|2005-12-31T23:59:59
XF|H1360|31.862301|84.953598|4988.0|H1360|2004-06-24T00:00:00|2005-12-31T23:59:59
XF|H1370|31.945299|84.892899|4736.0|H1370|2004-06-21T00:00:00|2005-12-31T23:59:59
XF|H1380|32.003899|84.822701|4638.0|H1380|2004-06-20T00:00:00|2005-12-31T23:59:59
XF|H1400|32.118698|84.694397|4488.0|H1400|2004-06-19T00:00:00|2005-12-31T23:59:59
XF|H1405|32.1805|84.5131|4636.0|H1405|2004-06-21T00:00:00|2005-12-31T23:59:59
XF|H1410|32.2361|84.3739|4561.0|H1410|2004-06-19T00:00:00|2005-12-31T23:59:59
XF|H1415|32.307899|84.218903|4616.0|H1415|2004-06-19T00:00:00|2005-12-31T23:59:59
XF|H1420|31.9347|83.842499|4955.0|H1420|2004-06-20T00:00:00|2005-12-31T23:59:59
XF|H1421|32.008801|83.8713|4792.0|H1421|2004-06-13T00:00:00|2005-12-31T23:59:59
XF|H1422|32.063801|83.8993|4620.0|H1422|2004-06-13T00:00:00|2005-12-31T23:59:59
XF|H1423|32.158699|83.924202|4854.0|H1423|2004-06-13T00:00:00|2005-12-31T23:59:59
XF|H1425|32.281601|84.063698|4489.0|H1425|2004-08-10T00:00:00|2005-12-31T23:59:59
XF|H1430|32.381599|84.131104|4485.0|H1430|2004-06-12T00:00:00|2005-12-31T23:59:59
XF|H1440|32.454498|84.239601|4554.0|H1440|2004-06-12T00:00:00|2005-12-31T23:59:59
XF|H1450|32.524101|84.271599|4652.0|H1450|2004-06-12T00:00:00|2005-12-31T23:59:59
XF|H1460|32.598099|84.223503|4665.0|H1460|2004-06-12T00:00:00|2005-12-31T23:59:59
XF|H1470|32.666698|84.215698|4687.0|H1470|2004-06-14T00:00:00|2005-12-31T23:59:59
XF|H1480|32.7467|84.2164|4655.0|H1480|2004-06-14T00:00:00|2005-12-31T23:59:59
XF|H1490|32.821602|84.2668|4818.0|H1490|2004-06-14T00:00:00|2005-12-31T23:59:59
XF|H1500|32.8946|84.286301|5075.0|H1500|2004-06-17T00:00:00|2005-12-31T23:59:59
XF|H1510|32.949001|84.304703|4964.0|H1510|2004-06-17T00:00:00|2005-12-31T23:59:59
XF|NBENS|28.2379|84.371201|735.0|NBENS|2002-11-08T00:00:00|2005-12-31T23:59:59
XF|NDOML|27.9753|84.281998|352.0|NDOML|2002-12-10T00:00:00|2005-12-31T23:59:59
XF|NG020|27.5702|84.329201|110.0|NG020|2002-11-01T00:00:00|2005-12-31T23:59:59
XF|NG030|27.679701|84.403702|136.0|NG030|2002-11-01T00:00:00|2005-12-31T23:59:59
XF|NG040|27.824301|84.463799|197.0|NG040|2002-11-08T00:00:00|2005-12-31T23:59:59
XF|NGUMB|27.5562|83.839104|530.0|NGUMB|2002-10-31T00:00:00|2005-12-31T23:59:59
XF|NP010|27.494801|83.3181|40.0|NP010|2002-10-31T00:00:00|2005-12-31T23:59:59
XF|NP020|27.627399|83.460503|68.0|NP020|2002-10-31T00:00:00|2005-12-31T23:59:59
XF|NP030|27.750401|83.4963|283.0|NP030|2002-10-31T00:00:00|2005-12-31T23:59:59
XF|NP035|27.809|83.522202|774.0|NP035|2003-12-30T00:00:00|2005-12-31T23:59:59
XF|NP040|27.8713|83.536797|1364.0|NP040|2002-10-31T00:00:00|2005-12-31T23:59:59
XF|NP050|27.9361|83.639503|752.0|NP050|2002-10-30T00:00:00|2005-12-31T23:59:59
XF|NP060|27.997101|83.786903|707.0|NP060|2002-10-30T00:00:00|2005-12-31T23:59:59
XF|NP070|28.0784|83.860603|897.0|NP070|2002-10-29T00:00:00|2005-12-31T23:59:59
XF|NP071|28.082199|83.837097|821.0|NP071|2003-12-29T00:00:00|2005-12-31T23:59:59
XF|NP075|28.148701|83.8741|1098.0|NP075|2003-12-29T00:00:00|2005-12-31T23:59:59
XF|NP080|28.214701|84.002502|811.0|NP080|2002-11-02T00:00:00|2005-12-31T23:59:59
XF|NP082|28.278601|83.937698|1241.0|NP082|2003-12-27T00:00:00|2005-12-31T23:59:59
XF|NP085|28.3531|83.954803|1257.0|NP085|2003-12-27T00:00:00|2005-12-31T23:59:59
XF|NP090|28.294201|83.594803|1038.0|NP090|2002-11-01T00:00:00|2005-12-31T23:59:59
XF|NP100|28.7796|83.719101|2735.0|NP100|2002-11-10T00:00:00|2005-12-31T23:59:59
XQ|NA030|28.1159|84.6438|861.0|Katmandu,Nepal|2015-06-20T00:00:00|2016-03-21T23:59:59
XQ|NA240|27.8242|84.4636|245.0|Katmandu,Nepal|2015-06-20T00:00:00|2016-05-10T23:59:59
Y2|GARY|31.726801|80.337402|4455.0|Garyersa, Tibet|2007-06-24T00:00:00|2011-05-12T23:59:59
Y2|GUGE|31.4769|79.664101|3676.0|Zaparang, Tibet|2007-06-23T00:00:00|2011-05-12T23:59:59
Y2|MONS|31.190201|80.749199|4438.0|Monser, Tibet|2007-06-22T00:00:00|2011-05-11T23:59:59
Y2|NOCO|33.719398|80.389801|4562.0|Dorma, Tibet|2007-06-27T00:00:00|2007-10-15T23:59:59
Y2|NOMA|32.442402|83.161903|4551.0|Oma, Tibet|2007-07-01T00:00:00|2011-05-15T23:59:59
Y2|NPUK|32.3904|81.157402|4575.0|Napuk, Tibet|2007-06-29T00:00:00|2011-05-13T23:59:59
Y2|PURG|30.198799|81.275299|3818.0|Purang, Tibet|2007-06-21T00:00:00|2011-05-09T23:59:59
Y2|RUTK|33.368999|79.693298|4269.0|Rutok, Tibet|2007-06-27T00:00:00|2011-05-13T23:59:59
Y2|SQAH|32.52|80.106903|4459.0|Shiquanhe, Tibet|2007-06-25T00:00:00|2011-01-18T23:59:59
Y2|WT01|32.042702|81.925598|4600.0|Zhungba1, Tibet|2009-09-03T00:00:00|2011-04-21T23:59:59
Y2|WT02|30.759701|81.364998|4693.0|Jiwu, Tibet|2009-08-16T00:00:00|2011-05-08T23:59:59
Y2|WT03|31.496099|82.335197|4829.0|Yarla, Tibet|2009-09-04T00:00:00|2011-05-15T23:59:59
Y2|WT04|30.453899|81.116203|4123.0|Rengon, Tibet|2009-08-17T00:00:00|2011-05-09T23:59:59
Y2|WT05|31.8594|82.158997|4728.0|Temple, Tibet|2009-09-05T00:00:00|2011-05-15T23:59:59
Y2|WT06|32.226398|82.261299|4443.0|Salt-lake, Tibet|2009-09-06T00:00:00|2011-05-14T23:59:59
Y2|WT07|31.5135|80.4431|4807.0|Bahr, Tibet|2009-08-26T00:00:00|2011-05-12T23:59:59
